Gene,Pearson_Corr_Size,P_Value_Size,BH_Corrected_P_Value_Size,Pearson_Corr_KRN,P_Value_KRN,BH_Corrected_P_Value_KRN
GRMZM2G006631,-0.24487405984020563,0.24880519662077552,0.9984265756175531,-0.30961911711379764,0.1409386518790145,0.9987071952047535
GRMZM2G006676,0.10278791725496939,0.6326903855339051,0.9984265756175531,0.17293666092856352,0.41903203199377864,0.9987071952047535
GRMZM2G132367,0.06919699617071991,0.7479957703247448,0.9984265756175531,-0.024658725158219166,0.9089439389815425,0.9987071952047535
GRMZM2G164527,-0.17728426228543448,0.40725029039735694,0.9984265756175531,-0.2955367015421252,0.1608891370352069,0.9987071952047535
GRMZM2G015571,0.1921666709777064,0.3683388821360812,0.9984265756175531,-0.2666754127439824,0.20779322215791116,0.9987071952047535
GRMZM2G006781,0.01673657342980917,0.9381301458414885,0.9984265756175531,0.045475381182614565,0.8328882725666739,0.9987071952047535
GRMZM2G003520,-0.0480097523119057,0.8237136804148864,0.9984265756175531,-0.14852339984375906,0.4885435939219377,0.9987071952047535
GRMZM2G432566,-0.04641038843172182,0.8295009539230224,0.9984265756175531,0.17196028390832072,0.42170333664726123,0.9987071952047535
GRMZM2G002002,0.31249799092652836,0.13708841321663132,0.9984265756175531,0.24110825943069128,0.256386883569556,0.9987071952047535
GRMZM2G134367,0.26342823939511295,0.21359251733975007,0.9984265756175531,0.17930935254899058,0.40182580624910097,0.9987071952047535
GRMZM2G155086,0.04450655538083007,0.836401153729818,0.9984265756175531,-0.041693180449932005,0.8466191989774338,0.9987071952047535
GRMZM5G808775,0.2658329684464993,0.20928747649886667,0.9984265756175531,0.12921386174706187,0.5473373676480032,0.9987071952047535
GRMZM2G029055,-0.17768299954511785,0.4061790202353715,0.9984265756175531,0.06261001665918706,0.7713296008608279,0.9987071952047535
GRMZM2G111191,-0.07752584888580062,0.7187983876645436,0.9984265756175531,0.035677504028103726,0.868546506663286,0.9987071952047535
GRMZM2G111214,0.0842078363946811,0.6956449473253877,0.9984265756175531,0.04849421106435737,0.8219624173403905,0.9987071952047535
GRMZM2G411084,-0.013633751462616332,0.9495844778707659,0.9984265756175531,-0.2755617141542327,0.1924688855682894,0.9987071952047535
GRMZM5G896834,-0.3262791787154937,0.11969823485834735,0.9984265756175531,-0.18346353335149088,0.39082536822384056,0.9987071952047535
GRMZM2G004259,-0.037042646742272076,0.863561681645189,0.9984265756175531,-0.1303045036242151,0.543932085575178,0.9987071952047535
GRMZM2G004397,0.14074394032321705,0.5118427541644803,0.9984265756175531,-0.17760934559634,0.40637678521880016,0.9987071952047535
GRMZM2G086604,0.09343635742232062,0.664100387607014,0.9984265756175531,-0.07054802550093829,0.7432355484881099,0.9987071952047535
GRMZM2G114234,0.011819677588036367,0.9562859194077973,0.9984265756175531,0.005730879296340403,0.9787972764649069,0.9987071952047535
GRMZM2G114190,0.4334244917498107,0.034360032509250335,0.9984265756175531,0.4481135412958458,0.02808824919336884,0.9987071952047535
GRMZM2G114055,0.15943421950159817,0.4567864658411539,0.9984265756175531,0.1955321102172209,0.35984872539953633,0.9987071952047535
GRMZM2G110847,0.10129844274685018,0.6376539194660331,0.9984265756175531,0.10717154432208122,0.6181720197383972,0.9987071952047535
GRMZM2G388915,0.2273744551091855,0.2852891599718155,0.9984265756175531,0.22164683719445488,0.2979241664263826,0.9987071952047535
GRMZM5G895573,0.06148150546215624,0.7753472515804637,0.9984265756175531,-0.12110392908327751,0.5729614492603419,0.9987071952047535
GRMZM5G880508,-0.02076549802114071,0.9232751006196763,0.9984265756175531,0.1916541175691134,0.36964201382205103,0.9987071952047535
GRMZM2G007130,0.276010366209115,0.1917162668618782,0.9984265756175531,0.0901900799346049,0.6751369941388737,0.9987071952047535
GRMZM2G006977,-0.1131244566508989,0.598676989033413,0.9984265756175531,-0.07923128355626458,0.7128651708920486,0.9987071952047535
